file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,corpus,-46.927705822797314,-47.96335807431586,4.054871511450409,8.183849754424223
F2BJRLP2,0.0,28.6474375,corpus,-46.80459751308901,-47.700726182753854,3.9935938239368935,7.7568836942774055
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,corpus,-44.58643584890464,-48.659755359996446,3.890318856726019,12.422107757688021
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,corpus,-44.22026331719128,-48.42254315889799,3.4544684135425805,11.13029074707532
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,corpus,-45.243841145833336,-50.80095437856821,3.3114711635198026,11.42655312425563
F2BJRLP3,0.0,30.7068125,corpus,-47.377172541517425,-48.30196388363838,3.213527300289373,10.391980560285393
